name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Tom Lawlor,"6' 0""","74""",Southpaw,"May 15, 1983",http://ufcstats.com/fighter-details/4d44f37107f01b9b,2.5,42.0,2.41,60.0,2.46,32.0,57.0,1.4,11.0
Marcelo Guimaraes,"6' 0""","73""",Orthodox,"Jun 25, 1983",http://ufcstats.com/fighter-details/0c9c0a43d3f3f49d,4.67,51.0,4.41,62.0,1.99,13.0,0.0,0.0,4.0
Justin Salas,"5' 8""","70""",Southpaw,"Mar 13, 1982",http://ufcstats.com/fighter-details/9b198c73e3d0d289,3.42,43.0,2.96,68.0,2.43,20.0,0.0,0.0,7.0
Mike Wilkinson,"5' 7""","66""",Orthodox,"Sep 15, 1987",http://ufcstats.com/fighter-details/cfaf010d5b389c09,2.35,38.0,3.7,35.0,0.92,14.0,55.0,0.9,4.0
Chris Dempsey,"5' 10""","72""",Orthodox,"Sep 08, 1987",http://ufcstats.com/fighter-details/dfae5da5676e4194,2.25,32.0,2.82,65.0,2.64,23.0,16.0,0.0,4.0
Yaotzin Meza,"5' 9""","71""",Orthodox,"Feb 04, 1981",http://ufcstats.com/fighter-details/3623bd267a2eef2e,1.43,41.0,1.62,64.0,1.06,20.0,18.0,1.4,7.0
Norman Parke,"5' 11""","70""",Southpaw,"Dec 22, 1986",http://ufcstats.com/fighter-details/14ff46596ad80609,3.06,35.0,2.88,64.0,1.98,26.0,77.0,0.0,9.0
Martin Svensson,"6' 1""",--,,"Apr 25, 1985",http://ufcstats.com/fighter-details/bcad7223af3c19da,2.02,38.0,5.91,38.0,0.0,0.0,0.0,0.0,1.0
Joe Riggs,"6' 0""","70""",Southpaw,"Sep 23, 1982",http://ufcstats.com/fighter-details/d512d9f204059f57,2.41,51.0,1.69,57.0,2.45,55.0,62.0,0.6,19.0
Daniel Sarafian,"5' 9""","73""",Orthodox,"Aug 21, 1982",http://ufcstats.com/fighter-details/7e47047d0971d566,2.23,46.0,3.1,58.0,0.36,7.0,53.0,0.7,6.0
Jonavin Webb,"5' 10""",--,Orthodox,"Apr 28, 1989",http://ufcstats.com/fighter-details/f40ec51dd4de47c3,1.47,30.0,2.27,64.0,2.5,31.0,40.0,1.0,2.0
Jared Rosholt,"6' 2""","75""",Orthodox,"Aug 04, 1986",http://ufcstats.com/fighter-details/91ea901c458e95dd,2.08,46.0,1.52,59.0,1.83,41.0,66.0,0.1,8.0
Rafael Cavalcante,"6' 1""","74""",Orthodox,"Apr 14, 1980",http://ufcstats.com/fighter-details/5c1ca0c72b599a3c,2.71,53.0,3.62,49.0,0.6,40.0,63.0,0.1,15.0
KJ Noons,"5' 10""","70""",Orthodox,"Dec 07, 1982",http://ufcstats.com/fighter-details/b7ffa72aa148599a,3.68,35.0,3.78,65.0,0.08,20.0,68.0,0.0,18.0
Noad Lahat,"5' 9""","69""",Orthodox,"Jun 08, 1984",http://ufcstats.com/fighter-details/9f755fb04cc21499,2.79,46.0,1.47,63.0,2.37,26.0,16.0,2.4,4.0
Masio Fullen,"5' 10""","70""",Orthodox,"Oct 06, 1986",http://ufcstats.com/fighter-details/4638cc6479cc0afe,2.46,32.0,3.5,54.0,0.47,33.0,69.0,0.0,3.0
Matt Dwyer,"6' 4""","76""",Orthodox,"Dec 17, 1989",http://ufcstats.com/fighter-details/8f0d576beba1cfcd,2.57,34.0,3.24,54.0,0.44,10.0,60.0,0.0,4.0
Levan Makashvili,"5' 8""","68""",Orthodox,"Jan 07, 1989",http://ufcstats.com/fighter-details/938ad489fb7a1f31,2.87,54.0,2.07,61.0,3.67,42.0,85.0,0.0,3.0
Felipe Olivieri,"5' 9""",--,Orthodox,"Apr 12, 1985",http://ufcstats.com/fighter-details/948880beac71f028,6.68,58.0,4.6,57.0,0.0,0.0,71.0,0.0,1.0
Matt Mitrione,"6' 3""","82""",Switch,"Jul 15, 1978",http://ufcstats.com/fighter-details/ba280572acfba13f,3.55,50.0,2.79,64.0,0.0,0.0,55.0,0.7,14.0
Daron Cruickshank,"5' 8""","72""",Switch,"Jun 11, 1985",http://ufcstats.com/fighter-details/5f99b2bafb10305f,2.88,38.0,2.98,57.0,2.04,41.0,60.0,0.2,13.0
Diego Brandao,"5' 7""","64""",Orthodox,"May 27, 1987",http://ufcstats.com/fighter-details/c2e3e67b5911bfb7,2.94,47.0,3.38,62.0,3.21,68.0,80.0,0.6,10.0
Tony Sims,"5' 11""","70""",Southpaw,"Oct 14, 1985",http://ufcstats.com/fighter-details/57bad6a84230f0c9,1.81,63.0,0.76,65.0,0.71,50.0,50.0,0.7,3.0
Masanori Kanehara,"5' 7""","67""",Orthodox,"Nov 19, 1982",http://ufcstats.com/fighter-details/f3a078277b3b8ff4,1.88,49.0,1.63,62.0,1.44,50.0,63.0,0.9,4.0
Sheldon Westcott,"6' 1""","71""",Southpaw,"Aug 20, 1984",http://ufcstats.com/fighter-details/ec2d13a87d3d9541,2.26,40.0,3.73,37.0,3.23,37.0,14.0,0.0,3.0
Edgar Garcia,"5' 10""","71""",Orthodox,"Feb 22, 1984",http://ufcstats.com/fighter-details/8d49545dadf9b919,3.16,29.0,4.23,60.0,2.21,57.0,50.0,0.6,5.0
Sarah Kaufman,"5' 5""","66""",Orthodox,"Sep 20, 1985",http://ufcstats.com/fighter-details/36df8e119aec6175,6.65,46.0,4.0,62.0,0.38,57.0,81.0,0.0,12.0
Danny Castillo,"5' 9""","71""",Orthodox,"Aug 25, 1979",http://ufcstats.com/fighter-details/d1e7fc58d4225cdf,2.57,42.0,1.96,62.0,2.95,38.0,63.0,0.2,22.0
Hayder Hassan,"5' 10""",--,,"Oct 20, 1982",http://ufcstats.com/fighter-details/cf615eb4b7862c76,2.11,46.0,3.16,48.0,0.0,0.0,25.0,0.0,3.0
Marcio Alexandre Junior,"6' 0""","75""",Southpaw,"May 05, 1989",http://ufcstats.com/fighter-details/d53482bef23235ba,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,4.0
Marcin Wrzosek,"5' 9""",--,,"Oct 14, 1987",http://ufcstats.com/fighter-details/aac6edb0d5e0b7e9,3.47,43.0,4.07,43.0,3.0,25.0,33.0,0.0,1.0
Konstantin Erokhin,"5' 11""",--,Orthodox,"Jan 31, 1983",http://ufcstats.com/fighter-details/22061ff217907c78,1.07,36.0,1.83,47.0,0.0,0.0,70.0,0.0,2.0
Mike Pierce,"5' 8""","71""",Orthodox,"Sep 01, 1980",http://ufcstats.com/fighter-details/236a37d96d476164,2.62,42.0,2.36,62.0,3.08,42.0,71.0,0.2,15.0
Abner Lloveras,"5' 11""",--,,"Sep 04, 1982",http://ufcstats.com/fighter-details/6448e57a9533b7e4,6.27,49.0,6.87,43.0,2.0,20.0,0.0,0.0,1.0
John Howard,"5' 7""","72""",Orthodox,"Mar 01, 1983",http://ufcstats.com/fighter-details/fc31f896cde2bc2e,2.15,50.0,3.08,51.0,2.7,49.0,53.0,0.4,14.0
Andreas Stahl,"5' 11""",--,Orthodox,"May 20, 1988",http://ufcstats.com/fighter-details/69a400af4420cd6a,2.83,37.0,4.74,57.0,1.55,66.0,80.0,0.0,2.0
Emily Kagan,"5' 3""",--,,"Jul 14, 1981",http://ufcstats.com/fighter-details/c1ea9d56cd953586,2.6,36.0,5.29,38.0,1.86,14.0,50.0,0.0,2.0
Benson Henderson,"5' 9""","70""",Southpaw,"Nov 16, 1983",http://ufcstats.com/fighter-details/2676b28836a5a836,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8,20.0
Yoshihiro Akiyama,"5' 10""","75""",Orthodox,"Jul 29, 1975",http://ufcstats.com/fighter-details/b0550072e5f0afa7,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,22.0
Dongi Yang,"5' 10""","73""",Southpaw,"Dec 07, 1984",http://ufcstats.com/fighter-details/aed06011bf62237b,3.55,51.0,3.21,63.0,1.7,41.0,61.0,0.5,5.0
Yui Chul Nam,"5' 9""",--,Orthodox,"Jul 16, 1981",http://ufcstats.com/fighter-details/a00ec21cfbba17b6,3.53,51.0,2.0,48.0,1.33,16.0,57.0,0.3,3.0
Leo Kuntz,"5' 10""",--,Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/6905d45bd71b50a9,1.68,32.0,3.8,45.0,1.99,25.0,33.0,0.7,2.0
Scott Jorgensen,"5' 5""","66""",Orthodox,"Sep 17, 1982",http://ufcstats.com/fighter-details/0b64d0fed453ef7f,3.37,40.0,3.41,65.0,2.61,45.0,59.0,0.7,22.0
Vernon Ramos Ho,"5' 6""",--,Orthodox,"Jun 03, 1992",http://ufcstats.com/fighter-details/30b577b112bef42d,4.0,25.0,8.0,55.0,0.0,0.0,0.0,0.0,1.0
Valmir Lazaro,"6' 0""","73""",Orthodox,"Aug 15, 1985",http://ufcstats.com/fighter-details/777dea713da2441d,4.87,37.0,4.09,61.0,1.33,40.0,96.0,0.0,3.0
Akbarh Arreola,"5' 10""","71""",Southpaw,"Jan 14, 1983",http://ufcstats.com/fighter-details/c136b2a8852da5bd,2.32,45.0,4.01,56.0,1.07,100.0,33.0,0.4,4.0
Anthony Perosh,"6' 3""","75""",Orthodox,"Oct 05, 1972",http://ufcstats.com/fighter-details/4b4753d19489297f,2.27,43.0,3.77,53.0,2.03,22.0,33.0,1.1,12.0
Danny Martinez,"5' 6""","67""",Orthodox,"Jun 14, 1985",http://ufcstats.com/fighter-details/8a9c6c4301f6d088,2.73,28.0,3.77,63.0,3.0,45.0,36.0,0.0,5.0
Richie Vaculik,"5' 6""","69""",Orthodox,"Jun 19, 1983",http://ufcstats.com/fighter-details/54578e5927adea53,3.69,46.0,4.09,57.0,3.0,45.0,31.0,1.0,4.0
Steve Montgomery,"6' 4""",--,Southpaw,"Dec 19, 1990",http://ufcstats.com/fighter-details/6e92eb1242b46636,4.85,39.0,4.12,47.0,0.0,0.0,64.0,0.0,2.0
Steve Kennedy,"5' 11""",--,Orthodox,"Mar 07, 1983",http://ufcstats.com/fighter-details/185fb0200a4605e6,2.28,35.0,5.52,45.0,2.51,33.0,0.0,0.0,2.0
Piotr Hallmann,"5' 9""","71""",Orthodox,"Aug 25, 1987",http://ufcstats.com/fighter-details/a3be148af5c7b088,3.98,45.0,3.17,58.0,2.55,44.0,70.0,0.4,6.0
Fabio Maldonado,"6' 1""","75""",Orthodox,"Mar 17, 1980",http://ufcstats.com/fighter-details/1fb80f46d3c105d9,5.29,58.0,4.31,53.0,0.44,57.0,61.0,0.6,11.0
Edimilson Souza,"6' 0""","74""",Orthodox,"Oct 17, 1984",http://ufcstats.com/fighter-details/6c7020b859c7a3ce,4.65,44.0,2.91,58.0,0.0,0.0,50.0,0.0,4.0
Gasan Umalatov,"5' 11""","71""",Orthodox,"Sep 11, 1982",http://ufcstats.com/fighter-details/7a39bbac8cc0fa70,2.23,39.0,4.1,59.0,0.75,17.0,90.0,0.0,4.0
Bruno Korea,"5' 6""","65""",,"Jun 28, 1991",http://ufcstats.com/fighter-details/6c011be66326ad97,2.12,34.0,3.96,42.0,0.0,0.0,25.0,0.0,2.0
Paddy Holohan,"5' 10""","69""",Orthodox,"May 03, 1988",http://ufcstats.com/fighter-details/6e7c758f5cdec01a,2.13,46.0,2.81,46.0,2.88,47.0,71.0,1.3,5.0
Jon Delos Reyes,"5' 6""","67""",Orthodox,"Aug 19, 1987",http://ufcstats.com/fighter-details/0d0351c20169a499,2.99,38.0,4.14,51.0,3.2,83.0,55.0,1.9,4.0
Mickael Lebout,"5' 11""","73""",Orthodox,"Aug 16, 1987",http://ufcstats.com/fighter-details/c575ab451e3c5b1d,2.6,34.0,2.98,54.0,0.0,0.0,60.0,0.0,3.0
Aisling Daly,"5' 2""","64""",Orthodox,"Dec 24, 1987",http://ufcstats.com/fighter-details/e50cd77732d39967,2.92,52.0,1.4,55.0,2.15,41.0,33.0,0.9,3.0
Ericka Almeida,"5' 6""",--,Orthodox,"Mar 05, 1989",http://ufcstats.com/fighter-details/67a992d4cff22466,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0,2.0
Cathal Pendred,"6' 1""","75""",Orthodox,"Sep 02, 1987",http://ufcstats.com/fighter-details/99c7610aa74995d3,2.49,44.0,3.01,55.0,2.46,23.0,83.0,0.4,6.0
Bubba Bush,"6' 0""",--,Orthodox,"Jul 24, 1985",http://ufcstats.com/fighter-details/132505067f08c54d,0.63,55.0,7.01,25.0,2.82,50.0,60.0,0.0,2.0
Ruslan Magomedov,"6' 3""","78""",Orthodox,"Nov 26, 1986",http://ufcstats.com/fighter-details/369e1ce458ef50a6,4.02,47.0,1.47,66.0,0.33,100.0,88.0,0.0,3.0
Shawn Jordan,"6' 0""","75""",Southpaw,"Oct 21, 1984",http://ufcstats.com/fighter-details/ca2efc9d7d523c43,2.87,50.0,3.3,47.0,1.97,38.0,76.0,0.1,12.0
Francisco Trevino,"5' 9""","70""",Orthodox,"Dec 17, 1981",http://ufcstats.com/fighter-details/97a6bbe6e6566a94,2.65,42.0,2.42,64.0,0.97,22.0,41.0,0.0,3.0
Chris Cariaso,"5' 3""","64""",Southpaw,"May 27, 1981",http://ufcstats.com/fighter-details/b2e3aca4cd363477,3.35,43.0,2.23,61.0,1.11,39.0,57.0,0.8,18.0
Chico Camus,"5' 6""","66""",Orthodox,"Jan 26, 1985",http://ufcstats.com/fighter-details/32be4b7f7de1c905,2.58,41.0,2.46,64.0,0.77,40.0,72.0,0.4,8.0
George Roop,"6' 1""","72""",Orthodox,"Nov 10, 1981",http://ufcstats.com/fighter-details/3c0437fbeda06962,3.43,34.0,2.47,60.0,1.05,57.0,59.0,0.1,16.0
Katsunori Kikuno,"5' 8""","66""",Orthodox,"Oct 31, 1981",http://ufcstats.com/fighter-details/44470bfd9483c7ad,2.64,40.0,2.47,61.0,1.88,75.0,76.0,0.8,10.0
Naoyuki Kotani,"5' 8""","66""",Southpaw,"Dec 08, 1981",http://ufcstats.com/fighter-details/bc8f6b42767e28df,1.02,31.0,2.89,50.0,0.83,16.0,46.0,0.8,6.0
Roger Zapata,"5' 11""",--,Southpaw,"May 09, 1986",http://ufcstats.com/fighter-details/fe5ca7ef93c3f6a7,2.6,51.0,2.13,36.0,0.0,0.0,81.0,1.4,1.0
Clay Collard,"5' 11""","73""",Orthodox,"Mar 10, 1993",http://ufcstats.com/fighter-details/cc900c6a71ed23f3,4.22,32.0,5.0,50.0,2.81,39.0,71.0,0.5,4.0
Ron Stallings,"6' 2""","75""",Southpaw,"Jan 25, 1983",http://ufcstats.com/fighter-details/6dd758d34da8d254,3.22,60.0,3.26,51.0,0.0,0.0,71.0,0.0,4.0
Nazareno Malegarie,"5' 8""",--,,"May 16, 1986",http://ufcstats.com/fighter-details/d38e8c6ae2dfc051,3.87,34.0,3.27,69.0,1.0,33.0,0.0,0.0,1.0
Sam Stout,"5' 9""","70""",Orthodox,"Apr 23, 1984",http://ufcstats.com/fighter-details/501b07aec9b8fc2d,4.17,28.0,4.08,57.0,0.63,38.0,77.0,0.1,20.0
Yves Jabouin,"5' 7""","68""",Orthodox,"May 30, 1979",http://ufcstats.com/fighter-details/b4eeac608fc82f88,3.06,41.0,2.93,62.0,1.94,60.0,82.0,0.1,13.0
Elias Silverio,"5' 11""","73""",Orthodox,"Sep 22, 1986",http://ufcstats.com/fighter-details/52ba464d9068d871,3.67,49.0,2.97,51.0,1.62,38.0,85.0,0.2,5.0
Tom Watson,"6' 1""","73""",Orthodox,"Jul 13, 1982",http://ufcstats.com/fighter-details/6809c31286b08d97,4.01,44.0,4.41,50.0,0.15,7.0,43.0,0.0,7.0
Sirwan Kakai,"5' 5""",--,Orthodox,"Oct 03, 1989",http://ufcstats.com/fighter-details/2525a853486ee670,3.57,41.0,4.63,62.0,4.0,42.0,83.0,0.0,2.0
Roman Salazar,"5' 7""",--,Orthodox,"Feb 21, 1988",http://ufcstats.com/fighter-details/72c4b253d2f5ebf2,1.95,39.0,2.89,57.0,1.77,18.0,50.0,0.0,3.0
Anthony Christodoulou,"5' 9""",--,Orthodox,"Jul 30, 1987",http://ufcstats.com/fighter-details/4f11e9ce318ffbcb,2.19,26.0,5.9,45.0,0.0,0.0,40.0,0.0,2.0
Antonio Rodrigo Nogueira,"6' 3""","77""",Orthodox,"Jun 02, 1976",http://ufcstats.com/fighter-details/ee9d73f4fee9cbdd,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4,33.0
Soa Palelei,"6' 4""","81""",Orthodox,"Jul 12, 1977",http://ufcstats.com/fighter-details/60029bcf496bd707,2.47,57.0,2.68,48.0,2.2,47.0,66.0,0.0,8.0
Hugo Viana,"5' 6""","67""",Orthodox,"Sep 26, 1982",http://ufcstats.com/fighter-details/f95381efb3051d81,3.05,38.0,3.2,57.0,0.22,6.0,50.0,0.0,6.0
Ramsey Nijem,"5' 11""","75""",Orthodox,"Apr 01, 1988",http://ufcstats.com/fighter-details/22aa91e402d0fe1f,3.05,44.0,1.62,62.0,5.32,62.0,55.0,1.1,10.0
Jessamyn Duke,"5' 11""","73""",Orthodox,"Jun 24, 1986",http://ufcstats.com/fighter-details/a7ddae0be8b78147,4.83,53.0,4.43,57.0,1.27,36.0,50.0,1.9,4.0
Ivan Jorge,"5' 9""","73""",Orthodox,"Nov 07, 1980",http://ufcstats.com/fighter-details/19db7ac26308178f,3.41,49.0,2.91,59.0,1.56,16.0,75.0,0.6,4.0
Pawel Pawlak,"6' 0""","73""",Orthodox,"Feb 08, 1989",http://ufcstats.com/fighter-details/9310418684bc896f,1.67,33.0,2.22,53.0,1.0,37.0,70.0,0.0,3.0
Leonardo Mafra,"5' 10""","70""",Orthodox,"Apr 25, 1989",http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1,4.55,48.0,4.38,43.0,2.12,83.0,69.0,0.4,4.0
Vaughan Lee,"5' 6""","66""",Orthodox,"Oct 15, 1982",http://ufcstats.com/fighter-details/8bb6f4479685bbcc,3.47,47.0,2.07,70.0,0.81,33.0,72.0,1.0,8.0
Hans Stringer,"6' 3""",--,Orthodox,"Jul 06, 1987",http://ufcstats.com/fighter-details/523f6ad11dbe9b53,3.16,61.0,2.84,41.0,2.4,36.0,62.0,0.0,3.0
Paul Redmond,"5' 10""",--,Orthodox,"Oct 20, 1986",http://ufcstats.com/fighter-details/3f56b99447f00607,0.72,34.0,2.99,41.0,0.0,0.0,50.0,0.0,2.0
Marcus Brimage,"5' 4""","71""",Southpaw,"Apr 06, 1985",http://ufcstats.com/fighter-details/81801f57bd0a7c41,3.97,35.0,3.64,56.0,0.56,100.0,80.0,0.0,8.0
Josh Thomson,"5' 10""","71""",Orthodox,"Sep 21, 1978",http://ufcstats.com/fighter-details/a566371ba2ad7152,2.59,47.0,2.12,64.0,1.92,39.0,54.0,1.3,23.0
Igor Araujo,"6' 1""","77""",Orthodox,"Dec 06, 1980",http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6,4.0
Ildemar Alcantara,"6' 2""","78""",Orthodox,"Nov 18, 1982",http://ufcstats.com/fighter-details/7c6e87729e824ef4,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,7.0
Andrew Craig,"6' 1""","76""",Orthodox,"Jan 15, 1986",http://ufcstats.com/fighter-details/8a70ceb3edbe757b,2.39,40.0,3.01,50.0,0.53,37.0,72.0,0.0,7.0
Dan Miller,"6' 1""","74""",Orthodox,"Jun 30, 1981",http://ufcstats.com/fighter-details/d0c29452d3272603,2.03,36.0,3.06,49.0,1.67,54.0,47.0,1.8,15.0
Darrell Montague,"5' 6""","67""",Southpaw,"Nov 03, 1987",http://ufcstats.com/fighter-details/bffeb123b21c9aad,1.92,25.0,5.38,52.0,0.72,25.0,33.0,1.4,3.0
Mike Swick,"6' 1""","77""",Orthodox,"Jun 19, 1979",http://ufcstats.com/fighter-details/9fe85152f351e737,2.36,37.0,2.29,54.0,1.06,50.0,61.0,0.6,18.0
Yosdenis Cedeno,"5' 8""","69""",Orthodox,"Feb 12, 1985",http://ufcstats.com/fighter-details/3e61082025db8137,1.64,29.0,1.6,67.0,0.0,0.0,31.0,0.3,4.0
Eddie Gordon,"6' 0""","76""",Orthodox,"Jul 22, 1983",http://ufcstats.com/fighter-details/8cad40a75e5c97f5,2.03,32.0,2.57,60.0,1.93,83.0,63.0,0.0,4.0
Joe Merritt,"6' 0""",--,Orthodox,"Mar 07, 1984",http://ufcstats.com/fighter-details/e82d5f54daa85a7e,1.53,58.0,0.73,66.0,0.0,0.0,68.0,0.0,1.0
Lewis Gonzalez,"5' 10""",--,Orthodox,"Sep 19, 1987",http://ufcstats.com/fighter-details/2ff2e6e5abea3e53,1.4,37.0,1.87,41.0,2.0,33.0,62.0,0.0,1.0
Alan Omer,"5' 10""",--,Orthodox,"Sep 14, 1988",http://ufcstats.com/fighter-details/f2ad06f1007c481a,3.49,55.0,2.21,64.0,1.69,42.0,66.0,0.0,2.0
Niklas Backstrom,"6' 1""",--,Orthodox,"Aug 22, 1989",http://ufcstats.com/fighter-details/39cc64bf0a269db9,1.12,41.0,3.65,40.0,2.92,80.0,72.0,2.2,3.0
Antonio Dos Santos,"5' 10""",--,Orthodox,"Jul 21, 1988",http://ufcstats.com/fighter-details/81b8b3fb019dc69d,5.4,51.0,3.94,43.0,0.0,0.0,100.0,0.0,2.0
Brian Ebersole,"6' 0""","73""",Southpaw,"Nov 27, 1980",http://ufcstats.com/fighter-details/32ba186f4b0e3267,2.32,49.0,2.14,56.0,1.7,23.0,61.0,0.1,9.0
Justin Edwards,"5' 10""","70""",Orthodox,"Jan 26, 1983",http://ufcstats.com/fighter-details/e56daf7725a0b5ab,2.68,42.0,3.32,51.0,2.14,26.0,27.0,1.0,7.0
Ricardo Abreu,"5' 11""",--,Orthodox,"Apr 27, 1984",http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,2.0
Leonardo Morales,"5' 8""",--,Southpaw,"Dec 22, 1992",http://ufcstats.com/fighter-details/45230be0641f3f53,2.05,47.0,2.05,58.0,0.0,0.0,62.0,0.0,2.0
Ryan Jimmo,"6' 1""","73""",Orthodox,"Nov 27, 1981",http://ufcstats.com/fighter-details/bc3ec52ef70fc155,3.12,66.0,2.77,46.0,0.45,28.0,87.0,0.0,7.0
Wendell Oliveira Marques,"5' 10""",--,Orthodox,"Jun 01, 1983",http://ufcstats.com/fighter-details/32c03df3c9760069,3.77,47.0,4.4,47.0,0.0,0.0,100.0,0.0,2.0
Luiz Dutra,"5' 11""",--,Orthodox,"May 06, 1982",http://ufcstats.com/fighter-details/2153a7f8396a46cc,3.92,50.0,4.8,41.0,0.0,0.0,100.0,0.0,2.0
Josh Sampo,"5' 4""","64""",Orthodox,"Jul 24, 1984",http://ufcstats.com/fighter-details/f65dcb22dada2223,1.99,36.0,2.96,55.0,1.06,33.0,40.0,2.1,4.0
Constantinos Philippou,"5' 11""","73""",Orthodox,"Nov 29, 1979",http://ufcstats.com/fighter-details/05560764359161e4,2.19,35.0,2.73,54.0,0.4,42.0,65.0,0.3,10.0
Mark Munoz,"6' 0""","71""",Orthodox,"Feb 09, 1978",http://ufcstats.com/fighter-details/179f1948dc234f1f,3.12,51.0,2.26,57.0,3.17,29.0,57.0,0.6,17.0
Luke Barnatt,"6' 6""","77""",Orthodox,"Apr 13, 1988",http://ufcstats.com/fighter-details/172c2135e70f87b7,4.43,36.0,3.87,59.0,0.63,42.0,63.0,0.4,6.0
Zhang Lipeng,"5' 11""","71""",Southpaw,"Mar 10, 1990",http://ufcstats.com/fighter-details/7b310409440c9102,1.28,48.0,1.88,53.0,1.75,30.0,69.0,0.8,4.0
Royston Wee,"5' 7""","67""",Orthodox,"Nov 15, 1986",http://ufcstats.com/fighter-details/b9c03e7a4557e542,1.1,60.0,2.45,49.0,3.38,81.0,0.0,0.0,3.0
Roldan Sangcha'an,"5' 4""",--,Orthodox,"Dec 04, 1990",http://ufcstats.com/fighter-details/57887765f831e228,2.71,46.0,2.15,51.0,1.94,60.0,68.0,0.0,2.0
Nolan Ticman,"5' 6""",--,Orthodox,"May 17, 1988",http://ufcstats.com/fighter-details/9eb069062a0cfc13,2.57,47.0,2.53,67.0,0.0,0.0,60.0,0.0,2.0
Hatsu Hioki,"5' 11""","73""",Orthodox,"Jul 18, 1983",http://ufcstats.com/fighter-details/ef7fa30364cbe7f2,2.42,42.0,2.12,65.0,2.55,56.0,54.0,0.6,9.0
Lisa Ellis,"5' 4""",--,,"Nov 15, 1982",http://ufcstats.com/fighter-details/77350fd0e6d1dba8,1.68,48.0,2.32,57.0,4.19,63.0,50.0,0.6,3.0
Dylan Andrews,"6' 1""","74""",Switch,"Nov 15, 1979",http://ufcstats.com/fighter-details/00debc804e2b1cd4,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,5.0
Vik Grujic,"5' 11""","73""",Orthodox,"Feb 06, 1977",http://ufcstats.com/fighter-details/1e7483dbff40b84b,2.24,48.0,3.39,41.0,1.18,33.0,26.0,0.4,4.0
Alptekin Ozkilic,"5' 5""","65""",Orthodox,"Mar 27, 1986",http://ufcstats.com/fighter-details/e18a19001a3f7c7d,3.81,32.0,5.72,59.0,4.21,58.0,75.0,0.0,4.0
Quinton Jackson,"6' 1""","73""",Orthodox,"Jun 20, 1978",http://ufcstats.com/fighter-details/ffc088e64fab57e9,3.25,54.0,2.51,55.0,1.52,56.0,73.0,0.1,31.0
David Michaud,"5' 9""",--,Orthodox,"Nov 10, 1988",http://ufcstats.com/fighter-details/49f4b511932f71e9,3.25,43.0,4.45,54.0,2.53,58.0,77.0,0.7,3.0
Chris Clements,"5' 10""","70""",Orthodox,"Feb 09, 1976",http://ufcstats.com/fighter-details/e5ecaf884b6da2bc,3.2,49.0,2.37,44.0,0.0,0.0,32.0,0.3,5.0
Jessica Rakoczy,"5' 7""",--,Orthodox,"Apr 14, 1977",http://ufcstats.com/fighter-details/ffdeb4fbea09ce75,2.5,44.0,3.55,64.0,0.75,20.0,0.0,0.8,2.0
Jimy Hettes,"5' 9""","71""",Southpaw,"Jun 09, 1987",http://ufcstats.com/fighter-details/893d51aaf024eddd,3.47,57.0,3.5,57.0,5.2,44.0,61.0,1.4,6.0
Mirko Filipovic,"6' 2""","73""",Southpaw,"Sep 10, 1974",http://ufcstats.com/fighter-details/c32fb8c0f6471a4d,2.11,50.0,1.89,63.0,0.19,40.0,78.0,0.3,41.0
Seth Baczynski,"6' 3""","75""",Orthodox,"Oct 26, 1981",http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8,11.0
Izabela Badurek,"5' 5""",--,Orthodox,"Jul 11, 1991",http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,3.74,71.0,4.9,32.0,1.75,12.0,100.0,0.0,1.0
Marcin Bandel,"5' 10""",--,Orthodox,"Oct 10, 1989",http://ufcstats.com/fighter-details/5c2ce761399dc9c5,0.79,50.0,5.26,23.0,0.0,0.0,0.0,0.0,2.0
Rocky Lee,"5' 9""",--,Orthodox,"Apr 08, 1987",http://ufcstats.com/fighter-details/0d1c163b206e8c5f,2.47,51.0,5.33,44.0,1.0,10.0,33.0,0.0,1.0
Robert Peralta,"5' 8""","71""",Orthodox,"Mar 14, 1986",http://ufcstats.com/fighter-details/960d6cae8879ba2b,3.76,44.0,2.97,53.0,0.59,66.0,65.0,0.0,9.0
Justin Jones,"5' 11""",--,Orthodox,"Sep 06, 1987",http://ufcstats.com/fighter-details/9b75954db8db2a08,1.7,36.0,3.17,45.0,1.0,15.0,46.0,0.5,2.0
